time	V(N002,N019)	V(N004,N019)	V(N005,N019)	V(N008,N002)	V(N009,N005)	V(N011,N004)	V(n001)	V(n002)	V(n004)	V(n005)	V(n015)	V(n016)	V(n017)	I(Battery)	I(Rmotor1)	I(Rmotor2)	I(Rmotor3)
0.000000000000000e+00	6.622000e-13	6.622000e-13	-1.324400e-12	0.000000e+00	0.000000e+00	0.000000e+00	2.220000e+01	2.363577e-12	2.363577e-12	3.769768e-13	0.000000e+00	1.500000e+01	0.000000e+00	-1.962235e-10	6.020000e-11	-1.204000e-10	6.020000e-11
5.000000000000000e-07	6.401356e-13	6.307354e-13	-1.270871e-12	-5.611830e-16	-4.800332e-15	-1.705016e-15	2.220000e+01	2.291924e-12	2.282524e-12	3.809174e-13	-1.839316e-14	1.500000e+01	-1.384051e-14	-2.130491e-10	6.020061e-11	-1.204008e-10	6.020018e-11
5.001521037525631e-07	-4.496125e-07	2.629998e-07	1.866127e-07	1.061107e-02	1.890112e-09	1.492147e-09	2.220000e+01	-6.265993e-07	8.601312e-08	9.625947e-09	-9.368676e-08	1.500000e+01	1.452950e-08	1.960009e-05	5.675874e-11	-1.189722e-10	6.221348e-11
5.004563112576894e-07	-2.230440e-06	1.265220e-06	9.652199e-07	3.205091e-02	7.036599e-09	5.493717e-09	2.220000e+01	-3.177134e-06	3.185264e-07	1.852599e-08	-4.737063e-07	1.500000e+01	5.363396e-08	7.302348e-05	3.628738e-11	-1.101734e-10	7.388599e-11
5.007834594617853e-07	-6.142825e-06	3.373316e-06	2.769509e-06	5.559269e-02	1.376327e-08	1.067917e-08	2.220000e+01	-8.895310e-06	6.208303e-07	1.702380e-08	-1.323617e-06	1.500000e+01	1.043765e-07	1.427356e-04	-3.239070e-11	-7.953789e-11	1.119286e-10
5.010996578284727e-07	-1.191051e-05	6.398113e-06	5.512400e-06	7.882302e-02	2.003429e-08	1.551865e-08	2.220000e+01	-1.740581e-05	9.028207e-07	1.710788e-08	-2.586499e-06	1.500000e+01	1.517228e-07	2.077257e-04	-1.753900e-10	-1.393258e-11	1.893226e-10
5.015168861782671e-07	-2.249266e-05	1.187596e-05	1.061670e-05	1.101902e-01	2.834194e-08	2.192940e-08	2.220001e+01	-3.309219e-05	1.276423e-06	1.716707e-08	-4.910415e-06	1.500000e+01	2.144441e-07	2.938433e-04	-5.347685e-10	1.545606e-10	3.802079e-10
5.019408194671500e-07	-3.669766e-05	1.916742e-05	1.753024e-05	1.428912e-01	3.674224e-08	2.841102e-08	2.220001e+01	-5.421093e-05	1.654142e-06	1.696153e-08	-8.033876e-06	1.500000e+01	2.778555e-07	3.809094e-04	-1.162797e-09	4.532168e-10	7.095803e-10
5.025451712824379e-07	-6.293847e-05	3.255601e-05	3.038246e-05	1.909488e-01	4.867071e-08	3.761602e-08	2.220001e+01	-9.330392e-05	2.190559e-06	1.701542e-08	-1.380388e-05	1.500000e+01	3.679042e-07	5.045671e-04	-2.669490e-09	1.177762e-09	1.491728e-09
5.032849682982971e-07	-1.045983e-04	5.371248e-05	5.088580e-05	2.520685e-01	6.319200e-08	4.882168e-08	2.220001e+01	-1.554673e-04	2.843467e-06	1.678426e-08	-2.295552e-05	1.500000e+01	4.775026e-07	6.550999e-04	-5.770151e-09	2.681837e-09	3.088314e-09
5.043333186680678e-07	-1.814905e-04	9.261789e-05	8.887265e-05	3.429683e-01	8.362501e-08	6.459163e-08	2.220002e+01	-2.703464e-04	3.762001e-06	1.676080e-08	-3.981049e-05	1.500000e+01	6.316771e-07	8.669489e-04	-1.327202e-08	6.346629e-09	6.925394e-09
