time	V(N002,N019)	V(N004,N019)	V(N005,N019)	V(N008,N002)	V(N009,N005)	V(N011,N004)	V(n001)	V(n002)	V(n004)	V(n005)	V(n015)	V(n016)	V(n017)	I(Battery)	I(Rmotor1)	I(Rmotor2)	I(Rmotor3)
0.000000000000000e+00	6.622000e-13	6.622000e-13	-1.324400e-12	0.000000e+00	0.000000e+00	0.000000e+00	2.220000e+01	2.363577e-12	2.363577e-12	3.769768e-13	0.000000e+00	1.500000e+01	0.000000e+00	-1.962235e-10	6.020000e-11	-1.204000e-10	6.020000e-11
5.000000000000000e-07	6.874501e-13	6.856737e-13	-1.357193e-12	4.463010e-15	-1.599659e-15	2.686653e-15	2.220000e+01	2.420286e-12	2.418510e-12	3.756436e-13	1.805847e-15	1.500000e+01	1.766057e-15	-1.771241e-10	6.020031e-11	-1.204006e-10	6.020029e-11
5.002810123148246e-07	-1.526292e-06	8.522393e-07	6.740533e-07	1.977423e-02	3.715434e-09	2.904400e-09	2.220000e+01	-2.188199e-06	1.903330e-07	1.214702e-08	-3.259576e-07	1.500000e+01	2.835192e-08	4.360082e-05	3.867864e-11	-1.108960e-10	7.221738e-11
5.008430369444738e-07	-7.626538e-06	4.134448e-06	3.492089e-06	6.006400e-02	1.294873e-08	1.005151e-08	2.220000e+01	-1.109915e-05	6.618383e-07	1.947994e-08	-1.649851e-06	1.500000e+01	9.828342e-08	1.521568e-04	-9.022925e-11	-5.221823e-11	1.424475e-10
5.012069560904619e-07	-1.484717e-05	7.916161e-06	6.931013e-06	8.694177e-02	1.960272e-08	1.517753e-08	2.220000e+01	-2.176160e-05	1.001733e-06	1.658577e-08	-3.231113e-06	1.500000e+01	1.484986e-07	2.305759e-04	-2.950556e-10	4.278288e-11	2.522727e-10
5.016788057948830e-07	-2.804501e-05	1.472345e-05	1.332155e-05	1.227107e-01	2.773108e-08	2.145237e-08	2.220001e+01	-4.134932e-05	1.419143e-06	1.724033e-08	-6.130913e-06	1.500000e+01	2.099760e-07	3.268089e-04	-8.016819e-10	2.820066e-10	5.196754e-10
5.021548117445099e-07	-4.571937e-05	2.377324e-05	2.194612e-05	1.598431e-01	3.597589e-08	2.781451e-08	2.220001e+01	-6.764851e-05	1.844100e-06	1.697519e-08	-1.001723e-05	1.500000e+01	2.723438e-07	4.248219e-04	-1.680372e-09	7.021282e-10	9.782442e-10
5.028290132890849e-07	-7.821473e-05	4.031900e-05	3.789574e-05	2.142291e-01	4.748199e-08	3.669493e-08	2.220001e+01	-1.160936e-04	2.440156e-06	1.689749e-08	-1.716008e-05	1.500000e+01	3.594408e-07	5.623203e-04	-3.770910e-09	1.711562e-09	2.059348e-09
5.036745027853447e-07	-1.312586e-04	6.721291e-05	6.404566e-05	2.853857e-01	6.174974e-08	4.770800e-08	2.220001e+01	-1.952874e-04	3.184067e-06	1.681941e-08	-2.880326e-05	1.500000e+01	4.675183e-07	7.340024e-04	-8.201246e-09	3.867628e-09	4.333618e-09
5.048499576727123e-07	-2.275586e-04	1.158753e-04	1.116832e-04	3.897272e-01	8.123695e-08	6.275377e-08	2.220002e+01	-3.392251e-04	4.208757e-06	1.659997e-08	-4.988502e-05	1.500000e+01	6.152391e-07	9.706591e-04	-1.875039e-08	9.034038e-09	9.716347e-09
